,Unnamed: 0,Country/Region,Number of official (including de facto),Official language(s),Regional language(s),Minority language(s),National language(s),Widely spoken
0,0,Abkhazia,2,Abkhaz Russian,,Georgian,Abkhaz,
1,1,Afghanistan,2,Persian Pashto,Uzbek Turkmen Pashayi Nuristani Balochi Pamiri,,Persian Pashto,Persian
2,2,Albania,1,Albanian,,Greek Macedonian Aromanian,,Italian
3,3,Algeria,2,Arabic Berber,,,Arabic Berber,French
4,4,Andorra,1,Catalan,,Spanish French Portuguese,,
5,5,Angola,1,Portuguese,,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela,Angolan Portuguese
6,6,Antigua and Barbuda,1,,,,,Antiguan and Barbudan Creole
7,7,Argentina,1,,Spanish Guaran Kom Moquoit Wichi,,,Argentine Spanish English Italian German French
8,8,Armenia,1,Armenian,,,Armenian,Russian
9,9,Australia,1,,English Norfuk,,,
10,10,Austria,1,German,Burgenland Croatian Hungarian Slovene,Slovene Czech Hungarian Slovak Romani Serbian,German,English
11,11,Azerbaijan,1,Azerbaijani,,,Azerbaijani,Russian
12,12,Bahamas,1,English,,,,
13,13,Bahrain,1,Arabic,,English,,
14,14,Bangladesh,1,Bengali,Sylheti Chittagonian RangpuriKamtapuri,Chakma Marma Rakhine Hajong Santali Tripuri Manipuri,Bengali,
15,15,Barbados,1,English,,,,
16,16,Belarus,2,Belarusian Russian,,,Belarusian,
17,17,Belgium,3,Dutch French German,Dutch French German,,,English
18,18,Belize,1,English,,Garifuna,,Kriol Spanish
19,19,Benin,1,French,,,,
20,20,Bhutan,1,Dzongkha,,,,
21,21,Bolivia,37,Castilian Aymara Araona Baure Bsiro Canichana Cavinea Cayubaba Chcobo Chimn Ese Ejja Guaran Guarasuwe Guarayu Itonama Leco MachajuyaiKallawaya Machineri Maropa MojeoIgnaciano MojeoTrinitario Mor Mosetn Movima Pacawara Puquina Quechua Sirion Tacana Tapiet Toromona UruChipaya Weenhayek Yaminawa Yuki Yuracar Zamuco,,,,
22,22,Bosnia and Herzegovina,3,,,,,
23,23,Botswana,1,English,,,Tswana,Other Bantu languages Several Khoisan languages
24,24,Brazil,1,Portuguese,German East Pomeranian Riograndenser Hunsrckisch Talian Nheengatu Baniwa Tucano Guaran,Eighty Brazilian municipalities have coofficial languages The list can be seen at Languages of Brazil,Portuguese,Spanish English French
25,25,Brunei,1,Malay,,,,English Chinese
26,26,Bulgaria,1,Bulgarian,,,,
27,27,Burkina Faso,4,Moor Bissa Dyula Fula,,,Working languages English French,
28,28,Burundi,3,French Kirundi English,,,Kirundi,Swahili
29,29,Cambodia,1,Khmer,,,,French English Chinese
30,30,Cameroon,2,English French,,,,
31,31,Canada,2,English French,Chipewyan Cree Gwichin Inuinnaqtun Inuktitut Inuvialuktun Mikmaq North Slavey South Slavey Tch,Chipewyan Cree Gwichin Inuinnaqtun Inuktitut Inuvialuktun Mikmaq North Slavey South Slavey Tch,,
32,32,Cape Verde,1,Portuguese,,,Cape Verdean Creole,
33,33,Central African Republic,2,French Sango,,,,
34,34,Chad,2,Arabic French,,,,
35,35,Chile,1,Spanish,Languages of ethnic groups are official in their territories,,,
36,36,China,1,Standard Chinese,English Portuguese,Mongolian Uyghur Tibetan Zhuang Kazakh Korean,,Other Sinitic languages
37,37,Christmas Island,3,English Mandarin Chinese Malay,,,,
38,38,Cocos Islands,2,English Cocos Malay,,,,Malay
39,39,Colombia,1,Spanish,Languages of ethnic groups are official in their territories,,,
40,40,Comoros,3,Arabic Comorian French,,,,
41,41,Democratic Republic of the Congo,1,French,,Lingala Kikongo,Swahili Tshiluba,
42,42,Republic of the Congo,1,French,,Lingala Munukutuba,,
43,43,Cook Islands,2,English Cook Islands Mori,,,,
44,44,Costa Rica,1,Spanish,,Indigenous languages Limonese Creole,,
45,45,Croatia,1,Croatian,Serbian Hungarian Czech Slovak Pannonian Rusyn,,Italian Romani Slovene,English
46,46,Cuba,1,Spanish,,,,
47,47,Cyprus,2,Greek Turkish,,,Armenian Cypriot Arabic,English
48,48,Czech Republic,2,Czech,,Belarusian Bulgarian Croatian German Greek Hungarian Polish Romani Russian Rusyn Serbian Ukrainian Vietnamese,Czech,
49,49,Denmark,1,Danish,Faroese Kalaallisut,German,,English
50,50,Djibouti,2,Arabic French,,,,
51,51,Dominica,1,English,,,,
52,52,Dominican Republic,1,Spanish,,,,
53,53,East Timor,2,Portuguese Tetum,,Indonesian,,
54,54,Ecuador,1,Spanish,Languages of ethnic groups are official in their territories,Spanish Kichwa Shuar,,
55,55,Egypt,1,Arabic,,Coptic,Egyptian Arabic,English
56,56,El Salvador,1,Spanish,,,,
57,57,Equatorial Guinea,3,French Portuguese Spanish,,,,
58,58,Eritrea,1,Tigrinya,,,,Arabic Italian
59,59,Estonia,1,Estonian,,,,Russian
60,60,Eswatini,2,English Swazi,,,,
61,61,Ethiopia,5,Afar Amharic Oromo Somali Tigrinya,,,Afar Amharic Benshangul Gumuz Harari Kunama Oromo Sidamo Somali Tigrinya,
62,62,Fiji,3,English Fijian Fiji Hindi,,,,
63,63,Finland,2,Finnish Swedish,,Sami,Finnish Swedish,English
64,64,France,1,French,,Corsican language Basque language Breton language,,Occitan language
65,65,Gabon,1,French,,,,
66,66,The Gambia,1,English,,,,Wolof Mandinka Pulaar Soninke Jola Serer Mandjak Bainuk Kiriol
67,67,Georgia,1,Georgian,,,,Russian
68,68,Germany,1,German,Danish Lower Sorbian North Frisian Saterland Frisian Upper Sorbian German Sign Language Low German,Danish Lower Sorbian North Frisian Romani Upper Sorbian,,English
69,69,Ghana,1,English,Fante Asante Twi Akuapem Twi Adangme Dagaare Dagbani Ewe Ga Gonja Kasem Nzema,,,
70,70,Greece,1,Greek,,,,
71,71,Grenada,1,English,,,,
72,72,Guatemala,1,Spanish,,,Garifuna Maya Xinca,
73,73,Guinea,1,French,,,,Fula Maninka Susu
74,74,GuineaBissau,1,Portuguese,,,,
75,75,Guyana,1,English,,,,Guyanese Creole
76,76,Haiti,2,French Haitian Creole,,,,
77,77,Honduras,1,Spanish,,,,
78,78,Hong Kong,3,Cantonese English Mandarin,,,,
79,79,Hungary,1,Hungarian,,Croatian German Romanian Serbian Slovak Slovene,,
80,80,Iceland,2,Icelandic Icelandic Sign Language,,,,
81,81,India,2,Hindi English,,official languages Assamese Bengali Bodo Dogri Gujarati Hindi Kannada Kashmiri Konkani Maithili Malayalam Meitei Marathi Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu,see Languages of India,
82,82,Indonesia,1,Indonesian,Javanese,,Indonesian,Indonesian Malay Javanese Sundanese Batak Minangkabau more languages in Indonesia
83,83,Iran,1,Persian,,Azerbaijani Kurdish Luri Gilaki Mazanderani Balochi Arabic Qashqai Tati Turkmeni,Persian,
84,84,Iraq,2,Arabic Kurdish,Armenian recognized Assyrian NeoAramaic Iraqi Turkmen,,,
85,85,Ireland,2,Irish English,,,Irish,
86,86,Israel,1,Hebrew,Arabic,English,,Russian English
87,87,Italy,1,Italian,French FrancoProvenal German Ladin Friulian Sardinian Corsican,Catalan Slovene Occitan Albanian Greek,,Other ItaloDalmatian languages
88,88,Ivory Coast,1,French,,,,
89,89,Jamaica,1,English,,,Jamaican Patois,
90,90,Japan,1,,,,Japanese,
91,91,Jordan,1,Arabic,,Circassian Chechen Armenian,,
92,92,Kazakhstan,2,Kazakh Russian,,,Kazakh,
93,93,Kenya,2,English Swahili,,,Swahili,
94,94,Kiribati,2,English Gilbertese,,,,
95,95,North Korea,1,Korean,,,,
96,96,South Korea,2,Korean Korean Sign Language,,,,
97,97,Kosovo,2,Albanian Serbian,Turkish,,Albanian Serbian,
98,98,Kuwait,1,Arabic,,,Kuwaiti Sign Language Kuwaiti Arabic Kuwaiti Persian,
99,99,Kyrgyzstan,2,Kyrgyz Russian,,,Kyrgyz,
100,100,Laos,1,Lao,,,,
101,101,Latvia,1,Latvian,,,,Russian
102,102,Lebanon,1,Arabic,Arabic,Armenian,Arabic English French,Arabic English French
103,103,Lesotho,2,Sesotho English,,,Sotho,
104,104,Liberia,1,English,,,,
105,105,Libya,1,Arabic,,,,
106,106,Liechtenstein,1,German,,,,
107,107,Lithuania,1,Lithuanian,,,,Polish Russian
108,108,Luxembourg,3,French German Luxembourgish,,,Luxembourgish,English Portuguese
109,109,Macau,2,Cantonese Portuguese,,,,
110,110,Madagascar,2,French Malagasy,,,Malagasy,
111,111,Malawi,2,English,,,Chichewa,
112,112,Malaysia,1,Malay,RegionalState dialects,,Malay,Malay Mandarin Chinese Cantonese Tamil English
113,113,Maldives,1,Dhivehi,,,Dhivehi,English
114,114,Mali,13,Bambara Bobo Bozo Dogon Fula Hassaniya Kassonke Maninke Minyanka Senufo Songhay languages Soninke Tamasheq,,French,,
115,115,Malta,2,Maltese English,,,Maltese,
116,116,Sovereign Military Order of Malta,1,Italian,,,,
117,117,Marshall Islands,2,English Marshallese,,,,
118,118,Mauritania,1,Arabic,,,Arabic Fula Soninke Wolof,French
119,119,Mauritius,2,,,English,,
120,120,Mexico,1,,,,National languages,
121,121,Federated States of Micronesia,1,English,Chuukese Kosraean Pohnpeian Yapese,,,
122,122,Moldova,1,Romanian,Gagauz Russian Ukrainian,,,
123,123,Monaco,1,French,,,,Mongasque
124,124,Mongolia,1,Mongolian,,,,
125,125,Montenegro,1,Montenegrin,,,,
126,126,Morocco,2,Arabic Berber,,,Arabic Berber,French
127,127,Mozambique,1,Portuguese,,,,
128,128,Myanmar,1,Burmese,Chin Kachin Karen Karenni Mon Rakhine Shan,,,English
129,129,Namibia,1,English,German Oshiwambo,,Afrikaans,
130,130,Nauru,2,English Nauruan,,,,
131,131,Nepal,1,Nepali,,,All languages spoken as the mother tongue in Nepal,
132,132,Netherlands,1,Dutch,Frisian English Papiamento,Dutch Low Saxon Dutch Sign Language Limburgish Sinte Romani Yiddish,,English
133,133,New Zealand,3,English Mori language New Zealand Sign Language,,,,
134,134,Nicaragua,1,Spanish,In Autonomous Regions Creole Garifuna Mayangna Miskito Rama Sumo,,,
135,135,Niger,1,Hausa,,,Arabic French Fulfulde Gulmancema Kanuri Zarma Tamazight,
136,136,Nigeria,1,English,,,Hausa Yoruba Igbo,English Hausa
137,137,Niue,2,English Niuean,,,,
138,138,Norfolk Island,2,English Norfuk,,,,
139,139,North Macedonia,2,Macedonian Albanian,,,,
140,140,Northern Cyprus,1,Turkish,,,,
141,141,Norway,2,Norwegian Sami languages,Northern Sami Lule Sami Southern Smi Kven,Kven Scandoromani,Bokml Nynorsk,English
142,142,Oman,1,Arabic,,Shehri,,
143,143,Pakistan,2,Urdu English,Sindhi,,Urdu,Punjabi Balochi Sindhi Pashto Saraiki
144,144,Palau,2,English Palauan,Sonsorolese Tobian Japanese,,,
145,145,Palestine,1,Arabic,,,,English Hebrew
146,146,Panama,1,Spanish,,,,
147,147,Papua New Guinea,4,English Hiri Motu PNG Sign Language Tok Pisin,,,,
148,148,Paraguay,2,Spanish Guaran,,,,
149,149,Peru,1,Spanish,Quechua Aymara and another native languages are official wherever they predominate,,,
150,150,Philippines,2,Filipino English,Aklanon Bikol Cebuano Chavacano Hiligaynon Ibanag Ilocano Ivatan Kapampangan Kinaraya Maguindanao Maranao Pangasinan Sambal Tagalog Tausug Waray Yakan,Arabic Spanish,Filipino Filipino Sign Language,
151,151,Poland,1,Polish,Kashubian German Lithuanian Belarusian,Lemko Karaim Tatar Ukrainian,,English
152,152,Portugal,1,Portuguese,Mirandese,,,English
153,153,Qatar,1,Arabic,,,,
154,154,Romania,1,Romanian,,Armenian German Hungarian Romani Russian Serbian Slovak Tatar Turkish Ukrainian,,
155,155,Russia,1,Russian,,,,
156,156,Rwanda,4,English French Kinyarwanda Swahili,,,,
157,157,Sahrawi Arab Democratic Republic,2,Arabic Spanish,,,Arabic,
158,158,Saint Kitts and Nevis,1,English,,,,
159,159,Saint Lucia,1,English,,,,
160,160,Saint Vincent and the Grenadines,1,English,,,,
161,161,Samoa,2,English Samoan,,,,
162,162,San Marino,1,Italian,,,,
163,163,So Tom and Prncipe,1,Portuguese,,,,
164,164,Saudi Arabia,1,Arabic,,Faifi Razihi Mehri,,Indian Languages Filipino Bengali
165,165,Senegal,1,French,,,JolaFogny Mandinka Pulaar Serer Soninke Wolof,
166,166,Serbia,1,Serbian,,,,
167,167,Seychelles,3,English French Seychellois Creole,,,,
168,168,Sierra Leone,1,English,,,Krio,
169,169,Singapore,4,English Malay Mandarin Chinese Tamil,,,Malay,
170,170,Slovakia,1,Slovak,,Bulgarian Czech German Hungarian Polish Romani Rusyn Serbian Ukrainian,,
171,171,Slovenia,1,Slovene,,Hungarian Italian Croatian,,
172,172,Solomon Islands,1,English,,,,
173,173,Somalia,2,Somali Arabic,,,,
174,174,Somaliland,3,Arabic English Somali,,,,
175,175,South Africa,12,Afrikaans English Southern Ndebele Sotho Northern Sotho Swazi Tsonga Tswana Venda Xhosa Zulu SA Sign Language,,,,
176,176,South Ossetia,2,Ossetian Russian,Georgian,Georgian,,
177,177,South Sudan,1,English,,,Bari Dinka Luo Murle Nuer Zande,
178,178,Spain,1,Spanish,Catalan Galician Occitan Basque,AsturLeonese Aragonese Fala Portuguese Galician Catalan,,
179,179,Sri Lanka,2,Sinhala Tamil,,,,English
180,180,Sudan,2,Arabic English,,,,
181,181,Suriname,1,Dutch,,,Sranan Tongo,
182,182,Sweden,1,Swedish,,Finnish Menkieli Sami Yiddish Romani,,English
183,183,Switzerland,4,French German Italian Romansh,,,,
184,184,Syria,1,Arabic,Kurdish,Assyrian Western NeoAramaic Armenian,,
185,185,Taiwan,1,,,,Taiwanese Mandarin Taiwanese Hokkien Taiwanese Hakka Formosan languages Taiwan Sign Language Matsu dialect Wuqiu dialect,
186,186,Tajikistan,1,Tajik,,,Tajik,Russian
187,187,Tanzania,2,Swahili English,,,Swahili,
188,188,Thailand,1,Thai,Central Thai Isan Northern Thai Southern Thai,Sixtytwo domestic languages are officially recognized,,Burmese
189,189,Togo,1,French,,,,
190,190,Tokelau,2,English Tokelauan,,,,
191,191,Tonga,2,English Tongan,,,,
192,192,Transnistria,3,Moldovan Russian Ukrainian,,,,
193,193,Trinidad and Tobago,1,English,,,,Trinidadian Creole
194,194,Tunisia,1,Arabic,,,Arabic,
195,195,Turkey,1,Turkish,,Kurdish,Turkish,
196,196,Turkmenistan,1,Turkmen,,,Turkmen,Russian
197,197,Tuvalu,2,Tuvaluan English,,,Tuvaluan English,
198,198,Uganda,2,English Swahili,,,,
199,199,Ukraine,1,Ukrainian,Russian Crimean Tatar,,,
200,200,United Arab Emirates,1,Arabic,,,,English
201,201,United Kingdom and Crown dependencies etc,1,,Irish and UlsterScots Scots and Scottish Gaelic Welsh Pitcairnese Guernsiais and French Jrriais and French Manx,,,
202,202,United States,1,,,indigenous languages of recognized federal tribes,English,
203,203,Uruguay,2,Spanish Uruguayan Sign Language,,,,
204,204,Uzbekistan,1,Uzbek,,Uzbek Karakalpak and Uzbek in Karakalpakstan,,Russian
205,205,Vanuatu,3,English French Bislama,,,,
206,206,Vatican City,2,Italian Latin,,,,Swiss German
207,207,Venezuela,2,Spanish,,Native languages are official for indigenous peoples,,
208,208,Vietnam,1,Vietnamese,,Cantonese Cham Hmong Khmer Lao Muong Rade Tay Thai Vietnamese sign languages,Vietnamese,
209,209,Yemen,1,Arabic,,Mehri Soqotri,,
210,210,Zambia,1,English,,,,
211,211,Zimbabwe,16,Chewa Chibarwe English Kalanga Khoisan Nambya Ndau Ndebele Shangani Shona Sign language Sotho Tonga Tswana Venda Xhosa,,,,
