,Country Name,most_recent_value,years_since_obs
0,Aruba,97.2,7.0
2,Afghanistan,17.7,1.0
4,Angola,44.8,1.0
5,Albania,83.1,1.0
6,Andorra,95.4,1.0
8,United Arab Emirates,100.0,1.0
9,Argentina,89.2,1.0
10,Armenia,80.0,1.0
11,American Samoa,0.0,34.0
12,Antigua and Barbuda,77.6,1.0
13,Australia,97.1,1.0
14,Austria,94.9,0.0
15,Azerbaijan,89.0,1.0
16,Burundi,11.1,1.0
17,Belgium,94.6,1.0
18,Benin,32.2,1.0
19,Burkina Faso,17.0,1.0
20,Bangladesh,44.5,1.0
21,Bulgaria,80.4,1.0
22,Bahrain,100.0,1.0
23,"Bahamas, The",94.8,1.0
24,Bosnia and Herzegovina,83.4,1.0
25,Belarus,91.5,1.0
26,Belize,72.4,1.0
27,Bermuda,98.4,7.0
28,Bolivia,70.2,1.0
29,Brazil,84.2,1.0
30,Barbados,80.0,1.0
31,Brunei Darussalam,99.0,1.0
32,Bhutan,88.4,1.0
33,Botswana,81.4,1.0
34,Central African Republic,7.51,5.0
35,Canada,94.0,1.0
37,Switzerland,97.3,1.0
39,Chile,94.5,1.0
40,China,77.5,1.0
41,Cote d'Ivoire,40.7,1.0
42,Cameroon,41.9,1.0
43,"Congo, Dem. Rep.",30.5,1.0
44,"Congo, Rep.",38.4,1.0
45,Colombia,77.3,1.0
46,Comoros,35.7,1.0
47,Cabo Verde,73.5,1.0
48,Costa Rica,85.4,1.0
50,Cuba,71.3,1.0
51,Curacao,68.1,7.0
52,Cayman Islands,81.1,7.0
53,Cyprus,91.2,1.0
54,Czechia,86.0,1.0
55,Germany,93.5,0.0
56,Djibouti,65.0,1.0
57,Dominica,83.8,1.0
58,Denmark,99.8,0.0
59,Dominican Republic,84.6,1.0
60,Algeria,76.9,1.0
66,Ecuador,77.2,0.0
67,"Egypt, Arab Rep.",72.7,1.0
69,Eritrea,20.0,1.0
70,Spain,95.4,1.0
71,Estonia,93.2,1.0
72,Ethiopia,16.7,3.0
75,Finland,93.5,1.0
76,Fiji,79.3,1.0
77,France,86.8,1.0
78,Faroe Islands,97.6,7.0
79,"Micronesia, Fed. Sts.",39.4,4.0
80,Gabon,71.9,1.0
81,United Kingdom,96.3,1.0
82,Georgia,81.9,1.0
83,Ghana,69.9,1.0
84,Gibraltar,94.4,8.0
85,Guinea,26.5,1.0
86,"Gambia, The",45.9,1.0
87,Guinea-Bissau,32.5,1.0
88,Equatorial Guinea,60.4,1.0
89,Greece,85.0,1.0
90,Grenada,74.1,1.0
91,Greenland,69.5,7.0
92,Guatemala,56.1,1.0
93,Guam,80.5,7.0
94,Guyana,81.7,1.0
95,High income,93.4,0.0
96,"Hong Kong SAR, China",96.0,1.0
97,Honduras,58.3,1.0
99,Croatia,83.2,1.0
100,Haiti,39.3,5.0
101,Hungary,91.5,0.0
106,Indonesia,69.2,1.0
109,India,55.9,2.0
111,Ireland,96.5,1.0
112,"Iran, Islamic Rep.",79.6,1.0
113,Iraq,81.7,1.0
114,Iceland,99.8,1.0
115,Israel,87.0,1.0
116,Italy,87.0,1.0
117,Jamaica,83.4,1.0
118,Jordan,92.5,1.0
119,Japan,87.0,1.0
120,Kazakhstan,92.9,1.0
121,Kenya,35.0,1.0
122,Kyrgyz Republic,88.5,1.0
123,Cambodia,60.7,1.0
124,Kiribati,88.0,1.0
125,St. Kitts and Nevis,76.4,1.0
126,"Korea, Rep.",97.4,1.0
127,Kuwait,99.7,1.0
129,Lao PDR,63.6,1.0
130,Lebanon,83.5,1.0
131,Liberia,23.5,1.0
132,Libya,88.5,1.0
133,St. Lucia,70.1,1.0
136,Low income,26.5,0.0
137,Liechtenstein,97.3,1.0
138,Sri Lanka,51.2,1.0
139,Lower middle income,54.0,0.0
141,Lesotho,48.0,1.0
143,Lithuania,88.5,1.0
144,Luxembourg,98.8,0.0
145,Latvia,92.2,1.0
146,"Macao SAR, China",89.2,1.0
148,Morocco,91.0,1.0
149,Monaco,99.1,1.0
150,Moldova,80.2,1.0
151,Madagascar,20.4,1.0
152,Maldives,84.7,1.0
154,Mexico,81.2,1.0
155,Marshall Islands,65.7,1.0
157,North Macedonia,87.2,1.0
158,Mali,35.1,1.0
159,Malta,92.1,1.0
160,Myanmar,58.5,1.0
162,Montenegro,89.8,1.0
163,Mongolia,83.0,1.0
164,Northern Mariana Islands,0.0,34.0
165,Mozambique,19.8,1.0
166,Mauritania,37.4,1.0
167,Mauritius,79.5,1.0
168,Malawi,18.0,1.0
169,Malaysia,97.7,1.0
171,Namibia,64.4,1.0
172,New Caledonia,82.0,7.0
173,Niger,23.2,1.0
174,Nigeria,39.2,1.0
175,Nicaragua,58.2,1.0
176,Netherlands,97.0,1.0
177,Norway,99.0,1.0
178,Nepal,55.8,1.0
179,Nauru,81.7,4.0
180,New Zealand,96.2,1.0
182,Oman,95.3,0.0
184,Pakistan,27.4,1.0
185,Panama,78.0,1.0
186,Peru,79.5,1.0
187,Philippines,83.8,1.0
188,Palau,27.0,20.0
189,Papua New Guinea,24.1,1.0
190,Poland,86.4,1.0
192,Puerto Rico,87.3,2.0
193,"Korea, Dem. People's Rep.",0.0,12.0
194,Portugal,85.8,1.0
195,Paraguay,78.1,1.0
196,West Bank and Gaza,86.6,1.0
199,French Polynesia,72.7,7.0
200,Qatar,99.7,1.0
201,Romania,89.2,1.0
202,Russian Federation,92.2,1.0
203,Rwanda,34.2,1.0
205,Saudi Arabia,100.0,1.0
206,Sudan,26.4,4.0
207,Senegal,60.6,1.0
208,Singapore,94.3,1.0
209,Solomon Islands,42.5,1.0
210,Sierra Leone,20.6,1.0
211,El Salvador,67.7,1.0
212,San Marino,87.0,1.0
213,Somalia,27.6,2.0
214,Serbia,85.4,1.0
216,South Sudan,9.27,4.0
219,Sao Tome and Principe,61.5,1.0
220,Suriname,78.4,1.0
221,Slovak Republic,89.8,0.0
222,Slovenia,90.4,1.0
223,Sweden,95.7,1.0
224,Eswatini,57.6,1.0
226,Seychelles,87.4,1.0
227,Syrian Arab Republic,34.7,5.0
228,Turks and Caicos Islands,0.0,34.0
229,Chad,13.2,1.0
232,Togo,37.0,1.0
233,Thailand,89.5,1.0
234,Tajikistan,56.8,1.0
235,Turkmenistan,21.3,7.0
237,Timor-Leste,34.0,1.0
239,Tonga,58.5,1.0
242,Trinidad and Tobago,84.7,1.0
243,Tunisia,72.4,1.0
244,Turkiye,87.3,0.0
245,Tuvalu,74.3,1.0
246,Tanzania,29.1,1.0
247,Uganda,15.3,1.0
248,Ukraine,82.4,1.0
249,Upper middle income,80.7,0.0
250,Uruguay,89.9,1.0
251,United States,93.1,1.0
252,Uzbekistan,89.0,1.0
253,St. Vincent and the Grenadines,76.0,1.0
254,"Venezuela, RB",61.6,7.0
255,British Virgin Islands,77.7,7.0
256,Virgin Islands (U.S.),64.4,7.0
257,Viet Nam,78.1,1.0
258,Vanuatu,45.7,1.0
259,World,67.6,0.0
260,Samoa,58.1,1.0
261,Kosovo,89.4,6.0
262,"Yemen, Rep.",13.8,4.0
263,South Africa,75.7,1.0
264,Zambia,33.0,1.0
265,Zimbabwe,38.4,1.0
