,Unnamed: 0,Language,Family,Branch,First Language Speakers,Second Language Speakers,Total Speakers
1,0.0,English,Indo-European,Germanic,390.0,1138.0,1528.0
2,1.0,Mandarin Chinese,Sino-Tibetan,Sinitic,990.0,194.0,1184.0
3,2.0,Hindi,Indo-European,Indo-Aryan,345.0,264.0,609.0
4,3.0,Spanish,Indo-European,Romance,484.0,74.0,558.0
5,4.0,Modern Standard Arabic,Afro-Asiatic,Semitic,0.0,335.0,335.0
6,5.0,French,Indo-European,Romance,74.0,238.0,312.0
7,6.0,Bengali,Indo-European,Indo-Aryan,242.0,43.0,284.0
8,7.0,Portuguese,Indo-European,Romance,250.0,17.0,267.0
9,8.0,Russian,Indo-European,Balto-Slavic,145.0,108.0,253.0
10,9.0,Indonesian,Austronesian,Malayo-Polynesian,75.0,177.0,252.0
11,10.0,Urdu,Indo-European,Indo-Aryan,78.0,168.0,246.0
12,11.0,Standard German,Indo-European,Germanic,76.0,58.0,134.0
13,12.0,Japanese,Japonic,,124.0,2.0,126.0
14,13.0,Nigerian Pidgin,English Creole,Krio,5.0,116.0,121.0
15,14.0,Egyptian Arabic,Afro-Asiatic,Semitic,84.0,35.0,119.0
16,15.0,Marathi,Indo-European,Indo-Aryan,83.0,16.0,99.0
17,16.0,Vietnamese,Austroasiatic,Vietic,86.0,11.0,97.0
18,17.0,Telugu,Dravidian,South-Central,83.0,13.0,96.0
19,18.0,Hausa,Afro-Asiatic,Chadic,58.0,36.0,94.0
20,19.0,Turkish,Turkic,Oghuz,85.0,6.0,91.0
21,20.0,Western Punjabi,Indo-European,Indo-Aryan,,,90.0
22,21.0,Swahili,Niger–Congo,Bantu,4.0,83.0,87.0
23,22.0,Tagalog,Austronesian,Malayo-Polynesian,33.0,54.0,87.0
24,23.0,Tamil,Dravidian,South,79.0,8.0,86.0
25,24.0,Yue Chinese,Sino-Tibetan,Sinitic,85.0,1.0,86.0
26,25.0,Wu Chinese,Sino-Tibetan,Sinitic,83.0,1.0,83.0
27,26.0,Iranian Persian,Indo-European,Iranian,65.0,17.0,83.0
28,27.0,Korean,Koreanic,,81.0,1.0,82.0
29,28.0,Thai,Kra–Dai,Zhuang–Tai,27.0,44.0,71.0
30,29.0,Javanese,Austronesian,Malayo-Polynesian,,,69.0
31,30.0,Italian,Indo-European,Romance,63.0,3.0,66.0
32,31.0,Gujarati,Indo-European,Indo-Aryan,58.0,5.0,62.0
33,32.0,Levantine Arabic,Afro-Asiatic,Semitic,58.0,3.0,60.0
34,33.0,Amharic,Afro-Asiatic,Semitic,35.0,25.0,60.0
35,34.0,Kannada,Dravidian,South,44.0,15.0,59.0
36,35.0,Bhojpuri,Indo-European,Indo-Aryan,53.0,1.0,53.0
37,36.0,Sudanese Arabic,Afro-Asiatic,Semitic,41.0,11.0,52.0
